,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
279,LFPG,2024,4,1275.7666666666667,637.5666666666667,638.2
280,LFPG,2024,5,1331.516129032258,665.9677419354839,665.5483870967741
281,LFPG,2024,6,1384.9333333333334,692.9666666666667,691.9666666666667
282,LFPG,2024,7,1405.6451612903227,702.258064516129,703.3870967741935
283,LFPG,2024,8,1432.5806451612902,716.7096774193549,715.8709677419355
284,LFPG,2024,9,1387.9,693.9333333333333,693.9666666666667
285,LFPG,2024,10,1344.1935483870968,672.0967741935484,672.0967741935484
286,LFPG,2024,11,1183.7,592.2,591.5
287,LFPG,2024,12,1243.6774193548388,621.5806451612904,622.0967741935484
288,LGAV,2023,1,441.8709677419355,221.1290322580645,220.74193548387098
289,LGAV,2023,2,441.2142857142857,220.57142857142858,220.64285714285714
290,LGAV,2023,3,471.80645161290323,235.70967741935485,236.09677419354838
291,LGAV,2023,4,598.4,299.3,299.1
292,LGAV,2023,5,681.0645161290323,340.4516129032258,340.61290322580646
293,LGAV,2023,6,804.8333333333334,401.96666666666664,402.8666666666667
294,LGAV,2023,7,868.7741935483871,434.61290322580646,434.16129032258067
295,LGAV,2023,8,862.2903225806451,430.93548387096774,431.35483870967744
296,LGAV,2023,9,803.8666666666667,402.1666666666667,401.7
297,LGAV,2023,10,718.741935483871,359.19354838709677,359.5483870967742
298,LGAV,2023,11,545.8666666666667,272.96666666666664,272.9
299,LGAV,2023,12,523.0967741935484,261.258064516129,261.83870967741933
300,LGAV,2024,1,480.8709677419355,240.67741935483872,240.19354838709677
301,LGAV,2024,2,491.44827586206895,245.6206896551724,245.82758620689654
302,LGAV,2024,3,541.3548387096774,270.5806451612903,270.7741935483871
303,LGAV,2024,4,695.8,347.8666666666667,347.93333333333334
304,LGAV,2024,5,787.1935483870968,393.38709677419354,393.80645161290323
305,LGAV,2024,6,900.9,450.06666666666666,450.8333333333333
306,LGAV,2024,7,957.0322580645161,477.7741935483871,479.258064516129
307,LGAV,2024,8,949.3870967741935,474.0,475.38709677419354
308,LGAV,2024,9,888.4666666666667,443.5,444.96666666666664
309,LGAV,2024,10,768.258064516129,384.258064516129,384.0
310,LGAV,2024,11,600.3333333333334,299.96666666666664,300.3666666666667
311,LGAV,2024,12,588.4516129032259,294.19354838709677,294.258064516129
312,LIRF,2023,1,545.9677419354839,273.03225806451616,272.93548387096774
313,LIRF,2023,2,565.9285714285714,282.92857142857144,283.0
314,LIRF,2023,3,601.0322580645161,300.48387096774195,300.5483870967742
315,LIRF,2023,4,710.9,355.46666666666664,355.43333333333334
316,LIRF,2023,5,739.7096774193549,370.06451612903226,369.64516129032256
317,LIRF,2023,6,816.2,408.1333333333333,408.06666666666666
318,LIRF,2023,7,831.8387096774194,415.741935483871,416.0967741935484
319,LIRF,2023,8,840.741935483871,420.35483870967744,420.38709677419354
320,LIRF,2023,9,839.4666666666667,419.6333333333333,419.8333333333333
321,LIRF,2023,10,820.741935483871,410.3225806451613,410.4193548387097
322,LIRF,2023,11,721.4666666666667,360.8,360.6666666666667
323,LIRF,2023,12,717.483870967742,358.61290322580646,358.8709677419355
324,LIRF,2024,1,677.0645161290323,338.6774193548387,338.38709677419354
325,LIRF,2024,2,684.3793103448276,342.3103448275862,342.0689655172414
326,LIRF,2024,3,739.1935483870968,369.258064516129,369.93548387096774
327,LIRF,2024,4,892.4666666666667,446.3,446.1666666666667
328,LIRF,2024,5,923.5806451612904,461.7741935483871,461.80645161290323
329,LIRF,2024,6,983.0666666666667,491.6333333333333,491.43333333333334
330,LIRF,2024,7,1002.0967741935484,501.03225806451616,501.06451612903226
331,LIRF,2024,8,1005.3870967741935,502.6774193548387,502.7096774193548
332,LIRF,2024,9,977.2,488.6333333333333,488.56666666666666
333,LIRF,2024,10,909.3225806451613,454.64516129032256,454.6774193548387
334,LIRF,2024,11,772.4666666666667,386.1,386.3666666666667
335,LIRF,2024,12,777.0645161290323,388.4193548387097,388.64516129032256
336,LOWW,2023,1,497.7741935483871,248.90322580645162,248.8709677419355
337,LOWW,2023,2,495.35714285714283,247.64285714285714,247.71428571428572
338,LOWW,2023,3,556.4516129032259,278.35483870967744,278.0967741935484
339,LOWW,2023,4,658.3333333333334,329.1,329.23333333333335
340,LOWW,2023,5,701.6774193548387,350.48387096774195,351.19354838709677
341,LOWW,2023,6,739.5333333333333,369.6666666666667,369.8666666666667
342,LOWW,2023,7,746.8064516129032,373.48387096774195,373.3225806451613
343,LOWW,2023,8,732.0967741935484,366.03225806451616,366.06451612903226
344,LOWW,2023,9,737.7666666666667,368.6666666666667,369.1
345,LOWW,2023,10,701.8387096774194,351.03225806451616,350.80645161290323
346,LOWW,2023,11,588.3333333333334,294.1666666666667,294.1666666666667
347,LOWW,2023,12,569.5483870967741,284.258064516129,285.2903225806452
348,LOWW,2024,1,518.8064516129032,259.48387096774195,259.3225806451613
349,LOWW,2024,2,532.551724137931,266.3448275862069,266.2068965517241
350,LOWW,2024,3,570.2258064516129,285.16129032258067,285.06451612903226
351,LOWW,2024,4,693.7666666666667,346.76666666666665,347.0
352,LOWW,2024,5,741.2258064516129,370.3225806451613,370.9032258064516
353,LOWW,2024,6,781.1666666666666,390.6333333333333,390.53333333333336
354,LOWW,2024,7,776.9677419354839,388.3225806451613,388.64516129032256
355,LOWW,2024,8,770.0967741935484,385.2903225806452,384.80645161290323
356,LOWW,2024,9,778.1333333333333,388.96666666666664,389.1666666666667
357,LOWW,2024,10,745.1935483870968,372.5483870967742,372.64516129032256
358,LOWW,2024,11,615.1666666666666,306.93333333333334,308.23333333333335
359,LOWW,2024,12,606.9032258064516,303.258064516129,303.64516129032256
360,LPPT,2023,1,549.1290322580645,274.51612903225805,274.61290322580646
361,LPPT,2023,2,564.7142857142857,282.35714285714283,282.35714285714283
362,LPPT,2023,3,582.9354838709677,291.7096774193548,291.2258064516129
363,LPPT,2023,4,621.0333333333333,310.56666666666666,310.46666666666664
364,LPPT,2023,5,626.2903225806451,313.0967741935484,313.19354838709677
